Department,Municipio,Latitude,Longitude,Altitude,Extent
Guatemala,Amatitlan,14.4767797,-90.624471,1205,113
Guatemala,Fraijanes,14.4566739,-90.4437601,1585,95.5
Guatemala,Guatemala,14.6309713,-90.5154828,1500,220
Guatemala,Mixco,14.626034,-90.6299976,1691,95.9
Guatemala,Palencia,14.6796125,-90.3064536,1399,240
Guatemala,San Jose Pinula,14.54611,-90.41139,1740,202
Guatemala,San Jose del Golfo,14.76278,-90.37639,930,84
Guatemala,San Juan Sacatepequez,14.71889,-90.644167,1836,292
Guatemala,San Miguel Petapa,14.517778,-90.554722,1260,24.6
Guatemala,San Pedro Ayampuc,14.78667,-90.45111,1201,124
Guatemala,San Pedro Sacatepequez,14.6862,-90.6425,2200,37.9
Guatemala,San Raimundo,14.7966493,-90.5435068,1578,110
Guatemala,Santa Catarina Pinula,14.5679271,-90.4368233,1640,49.3
Guatemala,Villa Canales,14.48285,-90.53425,1238,295
Guatemala,Villa Nueva,14.5338821,-90.6358959,1334,74.4