Region,Population,Date
Amatitlan,60924,"""2002-11-22"""
Amatitlan,98176,"""2018-01-01"""
Chinautla,77071,"""2002-11-22"""
Chinautla,104972,"""2018-01-01"""
Chuarrancho,12638,"""2018-07-23"""
Chuarrancho,10101,"""2002-01-01"""
Fraijanes,58922,"""2018-07-23"""
Fraijanes,19454,"""2002-11-22"""
Guatemala,942348,"""2002-11-22"""
Guatemala,923392,"""2018-07-23"""
Mixco,384428,"""2002-11-22"""
Mixco,465773,"""2018-07-23"""
Palencia,70973,"""2018-07-23"""
Palencia,14164,"""2002-11-23"""
San Miguel Petapa,94228,"""2002-11-23"""
San Miguel Petapa,135447,"""2018-07-23"""
San Jose del Golfo,5156,"""2002-11-24"""
San Jose del Golfo,7229,"""2018-07-23"""
San Jose Pinula,67327,"""2018-07-23"""
San Jose Pinula,31436,"""2002-11-22"""
San Pedro Ayampuc,48727,"""2018-07-23"""
San Pedro Ayampuc,29663,"""2002-11-22"""
San Pedro Sacatepequez,31783,"""2002-11-22"""
San Pedro Sacatepequez,49589,"""2018-07-23"""
San Raimundo,7407,"""2002-11-22"""
San Raimundo,15447,"""2018-07-23"""
Santa Catarina Pinula,44974,"""2002-11-22"""
Santa Catarina Pinula,70982,"""2018-07-23"""
Villa Canales,124680,"""2018-07-23"""
Villa Canales,77638,"""2002-11-22"""
Villa Nueva,301947,"""2002-11-22"""
Villa Nueva,426316,"""2018-07-23"""
San Juan Sacatepequez,81584,"""2002-11-22"""
San Juan Sacatepequez,155965,"""2018-07-23"""